username,password,claims
user40,user40,http://wso2.org/claims/role=Internal/subscriber
user41,user41,http://wso2.org/claims/role=Internal/subscriber
user42,user42,http://wso2.org/claims/role=Internal/subscriber
user43,user43,http://wso2.org/claims/role=Internal/subscriber
user44,user44,http://wso2.org/claims/role=Internal/subscriber
user45,user45,http://wso2.org/claims/role=Internal/subscriber
user46,user46,http://wso2.org/claims/role=Internal/subscriber
user47,user47,http://wso2.org/claims/role=Internal/subscriber
user48,user48,http://wso2.org/claims/role=Internal/subscriber
user49,user49,http://wso2.org/claims/role=Internal/subscriber
user50,user50,http://wso2.org/claims/role=Internal/subscriber
user51,user51,http://wso2.org/claims/role=Internal/subscriber
user52,user52,http://wso2.org/claims/role=Internal/subscriber
user53,user53,http://wso2.org/claims/role=Internal/subscriber
user54,user54,http://wso2.org/claims/role=Internal/subscriber
user55,user55,http://wso2.org/claims/role=Internal/subscriber
user56,user56,http://wso2.org/claims/role=Internal/subscriber
user57,user57,http://wso2.org/claims/role=Internal/subscriber
user58,user58,http://wso2.org/claims/role=Internal/subscriber
user59,user59,http://wso2.org/claims/role=Internal/subscriber
user60,user60,http://wso2.org/claims/role=Internal/subscriber
user61,user61,http://wso2.org/claims/role=Internal/subscriber
user62,user62,http://wso2.org/claims/role=Internal/subscriber
user63,user63,http://wso2.org/claims/role=Internal/subscriber
user64,user64,http://wso2.org/claims/role=Internal/subscriber
user65,user65,http://wso2.org/claims/role=Internal/subscriber
user66,user66,http://wso2.org/claims/role=Internal/subscriber
user67,user67,http://wso2.org/claims/role=Internal/subscriber
user68,user68,http://wso2.org/claims/role=Internal/subscriber
user69,user69,http://wso2.org/claims/role=Internal/subscriber
user70,user70,http://wso2.org/claims/role=Internal/subscriber
user71,user71,http://wso2.org/claims/role=Internal/subscriber
user72,user72,http://wso2.org/claims/role=Internal/subscriber
user73,user73,http://wso2.org/claims/role=Internal/subscriber
user74,user74,http://wso2.org/claims/role=Internal/subscriber
user75,user75,http://wso2.org/claims/role=Internal/subscriber
user76,user76,http://wso2.org/claims/role=Internal/subscriber
user77,user77,http://wso2.org/claims/role=Internal/subscriber
user78,user78,http://wso2.org/claims/role=Internal/subscriber
user79,user79,http://wso2.org/claims/role=Internal/subscriber
user80,user80,http://wso2.org/claims/role=Internal/subscriber
user81,user81,http://wso2.org/claims/role=Internal/subscriber
user82,user82,http://wso2.org/claims/role=Internal/subscriber
user83,user83,http://wso2.org/claims/role=Internal/subscriber
user84,user84,http://wso2.org/claims/role=Internal/subscriber
user85,user85,http://wso2.org/claims/role=Internal/subscriber
user86,user86,http://wso2.org/claims/role=Internal/subscriber
user87,user87,http://wso2.org/claims/role=Internal/subscriber
user88,user88,http://wso2.org/claims/role=Internal/subscriber
user89,user89,http://wso2.org/claims/role=Internal/subscriber
user90,user90,http://wso2.org/claims/role=Internal/subscriber
user91,user91,http://wso2.org/claims/role=Internal/subscriber
user92,user92,http://wso2.org/claims/role=Internal/subscriber
user93,user93,http://wso2.org/claims/role=Internal/subscriber
user94,user94,http://wso2.org/claims/role=Internal/subscriber
user95,user95,http://wso2.org/claims/role=Internal/subscriber
user96,user96,http://wso2.org/claims/role=Internal/subscriber
user97,user97,http://wso2.org/claims/role=Internal/subscriber
user98,user98,http://wso2.org/claims/role=Internal/subscriber
user99,user99,http://wso2.org/claims/role=Internal/subscriber
